customer_id,customer_name,customer_address,email
IG-78307,Cahra,63 Graedel Place,cbensley2a@theglobeandmail.com
JN-66096,Madlen,46587 Ridgeway Drive,morrett2b@lycos.com
BL-45631,Artair,077 Derek Road,aeseler2c@opensource.org
AZ-65559,Winnah,0 Lighthouse Bay Lane,wluberti2d@pagesperso-orange.fr
ZM-47914,Bond,37966 Hollow Ridge Circle,bkairns2e@microsoft.com
ML-72426,Pia,003 Donald Center,pschulter2f@comsenz.com
XO-04199,Skip,72 Bultman Plaza,sivchenko2g@unesco.org
RT-33604,Sela,75 Anzinger Crossing,schick2h@vimeo.com
DJ-51408,Randie,31552 Birchwood Pass,rtown2i@friendfeed.com
ML-78227,Boote,20 Westend Street,bstealey0@vinaora.com
AM-99585,Stormie,9 Sycamore Crossing,sbradd1@shutterfly.com
CU-94010,Guss,123 Orin Park,gattarge2@dmoz.org
HC-11674,Ezequiel,123 Mockingbird Street,efinder3@symantec.com
MT-42139,Stearn,111111 Logan Parkway,ssaylor4@free.fr
KT-58461,Armin,5526 Loeprich Trail,me@gmail.com
NA-95910,Enrica,kkkkkkkkk,ewenman6@aboutads.info
QC-33134,Isac,51 Redwing Crossing,imackee7@acquirethisname.com
MJ-02310,Luce,9789 Kings Place,lkitteridge2j@admin.ch
ZF-44812,Em,923 Wayridge Alley,ecreighton2k@studiopress.com
OY-50381,Enrica,137 Southridge Plaza,eavrashin2l@virginia.edu
YL-35507,Haley,382 Continental Lane,hskechley2m@prnewswire.com
MU-21190,Murry,2 Lien Center,memps2n@feedburner.com
MQ-13788,Suki,254 Cody Hill,sreith2o@theglobeandmail.com
ID-123,Nilesh Khimani,"39,KISAN SOCIETY, VICTOR ROAD, MAHUVA",201901432@daiict.ac.in
